"matrix.unlist.linkHeading...nrow...length.linkHeading...byrow...TRUE.","matrix.unlist.linkHref...nrow...length.linkHref...byrow...TRUE."
"US splits with allies again as it looks to extend Iran weapons ban","https://news.google.com/articles/CAIiEABdl5HDSJe0pcbb4KgHLaQqGQgEKhAIACoHCAowocv1CjCSptoCMJrUpgU?hl=en-US&gl=US&ceid=US%3Aen"
"US asks allies to help rein in Iran-Venezuela flights","https://news.google.com/articles/CAIiELqjmmtUd183B_lGsbEuK6oqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-US&gl=US&ceid=US%3Aen"
"'Not the New York Gulf': US-Iran war of words heats up","https://news.google.com/articles/CAIiEC-paA8wb6fMqrb8g4ciE1QqGQgEKhAIACoHCAowyO6VCzDLka0DMPO9xwY?hl=en-US&gl=US&ceid=US%3Aen"
"Iranian Families Separated by One Trump Order After Another","https://news.google.com/articles/CBMiUmh0dHBzOi8vdGhlaW50ZXJjZXB0LmNvbS8yMDIwLzA0LzI5L211c2xpbS1iYW4tY29yb25hdmlydXMtaXJhbi1mYW1pbHktc2VwYXJhdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen"
"Iran’s Government To Keep Religious Sites Closed In Blow To Hard-Line Clerics","https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LnJmZXJsLm9yZy9hL2lyYW4tY292aWQtMTktcmVsaWdpb3VzLXNpdGVzLWNsb2VkLWhhcmQtbGluZS1jbGVyaWNzLzMwNTg1MjIzLmh0bWzSAV1odHRwczovL3d3dy5yZmVybC5vcmcvYW1wL2lyYW4tY292aWQtMTktcmVsaWdpb3VzLXNpdGVzLWNsb2VkLWhhcmQtbGluZS1jbGVyaWNzLzMwNTg1MjIzLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen"
"Iran satellite launch 'sends a message' on failed US pressure","https://news.google.com/articles/CAIiEFlJRXDOS4z37vQAX8V64nsqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-US&gl=US&ceid=US%3Aen"
"Rouhani says Iran watching US activities in Gulf region","https://news.google.com/articles/CAIiEEOMUe2Q0GdGoww5wIPmaBkqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-US&gl=US&ceid=US%3Aen"
"Iran virus death toll surges past 6,000","https://news.google.com/articles/CBMiTWh0dHBzOi8vbmV3cy55YWhvby5jb20vaXJhbi12aXJ1cy1kZWF0aC10b2xsLXN1cmdlcy1wYXN0LTYtMDAwLTEwNTgxNDU2MC5odG1s0gFVaHR0cHM6Ly9uZXdzLnlhaG9vLmNvbS9hbXBodG1sL2lyYW4tdmlydXMtZGVhdGgtdG9sbC1zdXJnZXMtcGFzdC02LTAwMC0xMDU4MTQ1NjAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen"
"Iran's most dangerous virus is its lying, oppressive regime","https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3Lndhc2hpbmd0b250aW1lcy5jb20vbmV3cy8yMDIwL2Fwci8yOS9pcmFucy1tb3N0LWRhbmdlcm91cy12aXJ1cy1pcy1pdHMtbHlpbmctb3BwcmVzc2l2ZS_SAWRodHRwczovL2FtcC53YXNoaW5ndG9udGltZXMuY29tL25ld3MvMjAyMC9hcHIvMjkvaXJhbnMtbW9zdC1kYW5nZXJvdXMtdmlydXMtaXMtaXRzLWx5aW5nLW9wcHJlc3NpdmUv?hl=en-US&gl=US&ceid=US%3Aen"
"Iran's Revolutionary Guards Play Politics With the Coronavirus","https://news.google.com/articles/CAIiENIwklrqt0LXJmsfMFm4l_cqFwgEKg4IACoGCAowwM8TMNDBAjD2nKUG?hl=en-US&gl=US&ceid=US%3Aen"
"US extends sanctions waiver allowing Iraq to import Iran gas","https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIwLzA0L2V4dGVuZHMtc2FuY3Rpb25zLXdhaXZlci1hbGxvd2luZy1pcmFxLWltcG9ydC1pcmFuLWdhcy0yMDA0MjgxOTA4NDg4NzIuaHRtbNIBdmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL25ld3MvMjAyMC8wNC9leHRlbmRzLXNhbmN0aW9ucy13YWl2ZXItYWxsb3dpbmctaXJhcS1pbXBvcnQtaXJhbi1nYXMtMjAwNDI4MTkwODQ4ODcyLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen"
